Common Name,Scientific Name
red maple,Acer rubrum L.
American hornbeam,Carpinus caroliniana Walt.
coastal sweetpepperbush,Clethra alnifolia L.
starved panicgrass,Dichanthelium depauperatum (Muhl.)Gould
intermediate woodfern,Dryopteris intermedia (Muhl.exWilld.)Gray
prairie fleabane,Erigeron strigosus Muhl.exWilld.
Virginia creeper,Parthenocissus quinquefolia (L.)Planch.
red chokeberry,Photinia pyrifolia (Lam.)Robertson&Phipps
black cherry,Prunus serotina Ehrh.
roundleaf greenbrier,Smilax rotundifolia L.
blackhaw,Viburnum prunifolium L.
marsh blue violet,Viola cucullata Ait.
sweetgum,Liquidambar styraciflua L.
Virginia threeseed mercury,Acalypha virginica L.
American chestnut,Castanea dentata (Marsh.)Borkh.
white wood aster,Eurybia divaricata (L.)Nesom
cinnamon fern,Osmunda cinnamomea L.
northern red oak,Quercus rubra L.
flameleaf sumac,Rhus copallinum L.
Allegheny blackberry,Rubus allegheniensis Porter
mapleleaf viburnum,Viburnum acerifolium L.
nimblewill,Muhlenbergia schreberi J.F.Gmel.
sweetflag,Acorus americanus (Raf.)Raf.
northern water plantain,Alisma triviale Pursh
hazel alder,Alnus serrulata (Ait.)Willd.
Canadian serviceberry,Amelanchier canadensis (L.)Medik.
smooth rockcress,Arabis laevigata (Muhl.exWilld.)Poir.
butterfly milkweed,Asclepias tuberosa L.
common ladyfern,Athyrium filix-femina (L.)Roth
smooth yellow false foxglove,Aureolaria flava (L.)Farw.
purplestem beggarticks,Bidens connata Muhl.exWilld.
devil's beggartick,Bidens frondosa L.
smallspike false nettle,Boehmeria cylindrica (L.)Sw.
fox sedge,Carex vulpinoidea Michx.
common buttonbush,Cephalanthus occidentalis L.
white turtlehead,Chelone glabra L.
scaldweed,Cuscuta gronovii Willd.exJ.A.Schultes
strawcolored flatsedge,Cyperus strigosus L.
American burnweed,Erechtites hieraciifolius (L.) Raf. ex DC.
Virginia strawberry,Fragaria virginiana Duchesne
rough bedstraw,Galium asprellum Michx.
licorice bedstraw,Galium circaezans Michx.
fragrant bedstraw,Galium triflorum Michx.
black huckleberry,Gaylussacia baccata (Wangenh.)K.Koch
spotted geranium,Geranium maculatum L.
cream avens,Geum virginianum L.
American witchhazel,Hamamelis virginiana L.
eastern redcedar,Juniperus virginiana L.
